myadd píng 瓶
4EFF fǎng 仿
4F00 zhōng 伀
4F01 qǐ 企
4F03 yú 伃
4F08 xǐn 伈
4F09 kàng 伉
4F0A yī 伊
4F0B jí 伋
4F0D wǔ 伍
4F0E jì 伎
4F0F fú 伏
4F10 fá 伐
4F11 xiū 休
4F15 fū 伕
4F17 zhòng 众
4F18 yōu 优
4F19 huǒ 伙
4F1A huì,kuài 会
4F1B yǔ 伛
4F1E sǎn 伞
4F1F wěi 伟
4F20 chuán,zhuàn 传
4F21 chē 伡
4F22 yá 伢
4F24 shāng 伤
4F25 chāng 伥
4F26 lún 伦
4F27 cāng,chen 伧
4F2A wěi 伪
4F2B zhù 伫
4F2F bǎi,bó 伯
4F30 gū,gù 估
4F32 nì 伲
4F34 bàn 伴
4F36 líng 伶
4F37 zhòu 伷
4F38 shēn 伸
4F3A cì,sì 伺
4F3C shì,sì 似
4F3D gā,jiā,qié 伽
4F3E pī 伾
4F40 sì 佀
4F43 diàn,tián 佃
4F46 dàn 但
4F47 zhù 佇
4F48 bù 佈
4F49 qū 佉
4F4A bǐ 佊
4F4D wèi 位
4F4E dī 低
4F4F zhù 住
4F50 zuǒ 佐
4F51 yòu 佑
4F53 tī,tǐ 体
4F54 zhàn 佔
4F55 hé 何
4F57 tuó 佗
4F58 shé 佘
4F59 yú 余
4F5A yì 佚
4F5B fó,fú 佛
4F5C zuō,zuó,zuò 作
4F5D gōu 佝
4F5E nìng 佞
4F5F tóng 佟
4F60 nǐ 你
4F62 qú 佢
4F63 yōng,yòng 佣
4F64 wǎ 佤
4F65 qiān 佥
4F67 kǎ 佧
4F69 pèi 佩
4F6B hè 佫
4F6C lǎo 佬
4F6F yáng 佯
4F70 bǎi 佰
4F73 jiā 佳
4F74 èr,nài 佴
4F76 jí 佶
4F79 guǐ 佹
4F7A quán 佺
4F7B tiāo 佻
4F7C jiǎo 佼
4F7D cì 佽
4F7E yì 佾
4F7F shǐ 使
4F81 shēn 侁
4F82 tuō 侂
4F83 kǎn 侃
4F84 zhí 侄
4F86 lái 來
4F88 chǐ 侈
4F89 kuǎ 侉
4F8B lì 例
4F8D shì 侍
4F8F zhū 侏
4F91 yòu 侑
4F94 móu 侔
4F96 lún 侖
4F97 dòng,tóng,tǒng 侗
4F98 chà 侘
4F9B gōng,gòng 供
4F9C zhōu 侜
4F9D yī 依
4FA0 xiá 侠
4FA3 lǚ 侣
4FA5 jiǎo,yáo 侥
4FA6 zhēn 侦
4FA7 cè,zè,zhāi 侧
4FA8 qiáo 侨
4FA9 kuài 侩
4FAA chái 侪
4FAC nóng 侬
4FAE wǔ 侮
4FAF hóu,hòu 侯
4FB4 chǒu 侴
4FB5 qīn 侵
4FB7 jú 侷
4FB9 tǐng 侹
4FBB tuì,tuō 侻
4FBF biàn,pián 便
4FC2 xì 係
4FC3 cù 促
4FC4 é 俄
4FC5 qiú 俅
4FCA jùn 俊
4FCD liáng 俍
4FCE zǔ 俎
4FCF qiào 俏
4FD0 lì 俐
4FD1 yǒng 俑
4FD7 sú 俗
4FD8 fú 俘
4FDA lǐ 俚
4FDB fǔ,miǎn 俛
4FDC pīng 俜
4FDD bǎo 保
4FDE shù,yú 俞
4FDF qí,sì 俟
4FE0 xiá 俠
4FE1 xìn 信
4FE3 yǔ 俣
4FE4 dì 俤
4FE6 chóu 俦
4FE8 yǎn 俨
4FE9 liǎ,liǎng 俩
4FEA lì 俪
4FED jiǎn 俭
4FEE xiū 修
4FEF fǔ 俯
4FF1 jū,jù 俱
4FF3 pái 俳
4FF5 biào 俵
4FF6 chù,tì 俶
4FF8 fèng 俸
4FFA ǎn 俺
4FFB bèi 俻
4FFE bǐ 俾
5000 chāng 倀
5002 bìng 倂
5005 cuì 倅
5006 liǎ,liǎng 倆
5008 lái 倈
5009 cāng 倉
500B gě,gè 個
500C guān 倌
500D bèi 倍
500F shū 倏
5010 shū 倐
5012 dǎo,dào 倒
5013 tán 倓
5014 jué,juè 倔
5016 xìng 倖
5018 cháng,tǎng 倘
5019 hòu 候
501A yǐ 倚
501C tì 倜
501E jìng,liàng 倞
501F jiè 借
5021 chàng 倡
5022 jié 倢
5023 fǎng 倣
5025 kōng,kǒng 倥
5026 juàn 倦
5028 jù 倨
5029 qiàn 倩
502A ní 倪
502B lún 倫
502C zhuō 倬
502D wō 倭
502E luǒ 倮
5033 zì 倳
5034 bèn 倴
5037 nǎi 倷
5038 cǎi 倸
503A zhài 债
503B yē 倻
503C zhí 值
503E qīng 倾
5041 chēng 偁
5043 yǎn 偃
5047 jiǎ,jià 假
5048 jì,jié 偈
5049 wěi 偉
504A yǔ 偊
504C ruò 偌
504E wēi 偎
504F piān 偏
5053 wò 偓
5055 xié 偕
505A zuò 做
505C tíng 停
5062 chǒu,qiào 偢
5065 jiàn 健
506A bī 偪
506C zǒng 偬
5070 xiè 偰
5072 cāi,sī 偲
5076 ǒu 偶
5077 tōu 偷
507A zá,zán,zan 偺
507B lóu,lǚ 偻
507D wěi 偽
507E fèn 偾
507F cháng 偿
5080 guī,kuǐ 傀
5085 fù 傅
5088 lì 傈
5089 nù 傉
508D bàng 傍
508E diān 傎
5091 jié 傑
5092 xī 傒
5095 jué 傕
5096 cāng,chen 傖
5098 sǎn 傘
5099 bèi 備
509A xiào 傚
509C yáo 傜
50A2 jiā 傢
50A3 dǎi 傣
50A4 zài 傤
50A5 tǎng 傥
50A7 bīn 傧
50A8 chǔ 储
50A9 nuó 傩
50AC cuī 催
50AD yōng 傭
50AF zǒng 傯
50B2 ào 傲
50B3 chuán,zhuàn 傳
50B4 yǔ 傴
50B7 shāng 傷
50BA chì 傺
50BB shǎ 傻
50C2 lóu,lǚ 僂
50C4 piào 僄
50C5 jǐn,jìn 僅
50C7 lù 僇
50C9 qiān 僉
50CA xiān 僊
50CD dòng 働
50CF xiàng 像
50D1 qiáo 僑
50D5 pú 僕
50D6 xī 僖
50DA liáo 僚
50DD chán 僝
50DE wěi 僞
50E1 huì 僡
50E2 chuǎn 僢
50E5 jiǎo,yáo 僥
50E6 jiù 僦
50E7 sēng 僧
50EC jiāo 僬
50ED jiàn 僭
50EE tóng,zhuàng 僮
50F0 bó 僰
50F1 gù 僱
50F3 sù 僳
50F5 jiāng 僵
50F6 mǐn 僶
50F9 jià,jie 價
50FB pì 僻
50FD zhòu 僽
5100 yí 儀
5101 jùn 儁
5102 nóng 儂
5104 yì 億
5105 dàng 儅
5106 jǐng 儆
5107 xuān 儇
5108 kuài 儈
5109 jiǎn 儉
510B dān 儋
510D shǎ 儍
5110 bīn 儐
5112 rú 儒
5113 tái 儓
5114 chóu 儔
5115 chái 儕
5117 nǐ 儗
5118 jǐn 儘
511F cháng 償
5121 lěi 儡
512A yōu 優
512D chèn 儭
5131 lǒng 儱
5134 ráng 儴
5135 shū 儵
5137 lì 儷
5138 luó 儸
5139 zǎn 儹
513A nuó 儺
513B tǎng 儻
513C yǎn 儼
513D léi 儽
513F ér 儿
5140 wū,wù 兀
5141 yǔn 允
5143 yuán 元
5144 xiōng 兄
5145 chōng 充
5146 zhào 兆
5147 xiōng 兇
5148 xiān 先
5149 guāng 光
514B kè 克
514D miǎn 免
514E tù 兎
5151 duì 兑
5152 ér,ní 兒
5154 tù 兔
5155 sì 兕
5156 yǎn 兖
515A dǎng 党
515C dōu 兜
5162 jīng 兢
5165 rù 入
5168 quán 全
5169 liǎng 兩
516B bā,bá 八
516C gōng 公
516D liù,lù 六
516E xī 兮
5170 lán 兰
5171 gòng 共
5173 guān 关
5174 xīng,xìng 兴
5175 bīng 兵
5176 jī,qí 其
5177 jù 具
5178 diǎn 典
5179 cí,zī 兹
517B yǎng 养
517C jiān 兼
517D shòu 兽
5180 jì 冀
5181 chǎn 冁
5184 rǎn 冄
5185 nèi 内
5187 mǎo 冇
5188 gāng 冈
5189 rǎn 冉
518A cè 冊
518C cè 册
518D zài 再
518F jiǒng 冏
5192 mào,mò 冒
5193 gòu 冓
5195 miǎn 冕
5197 rǒng 冗
5199 xiě,xiè 写
519B jūn 军
519C nóng 农
51A0 guān,guàn 冠
51A2 zhǒng 冢
51A4 yuān 冤
51A5 míng 冥
51AA mì 冪
51AC dōng 冬
51AE gāng 冮
51AF féng,píng 冯
51B0 bīng 冰
51B1 hù 冱
51B2 chōng,chòng 冲
51B3 jué 决
51B5 kuàng 况
51B6 yě 冶
51B7 lěng 冷
51BB dòng 冻
51BC xiǎn 冼
51BD liè 冽
51C0 jìng 净
51C3 tú 凃
51C4 qī 凄
51C6 zhǔn 准
51C7 sōng 凇
51C9 liáng,liàng 凉
51CA qìng 凊
51CB diāo 凋
51CC líng 凌
51CD dòng 凍
51CF jiǎn 减
51D1 còu 凑
51D3 lì 凓
51D4 chuàng 凔
51D8 sī 凘
51D9 duó 凙
51DB lǐn 凛
51DC lǐn 凜
51DD níng 凝
51DF dú 凟
51E0 jī,jǐ 几
51E1 fán 凡
51E2 fán 凢
51E4 fèng 凤
51E6 chǔ,chù 処
51EB fú 凫
51ED píng 凭
51EF kǎi 凯
51F0 huáng 凰
51F1 kǎi 凱
51F3 dèng 凳
51F4 píng 凴
51F6 xiōng 凶
51F7 kuài 凷
51F8 tū 凸
51F9 āo,wā 凹
51FA chū 出
51FB jī 击
51FC dàng 凼
51FD hán 函
51FF záo,zuò 凿
5200 dāo 刀
5201 diāo 刁
5203 rèn 刃
5204 rèn 刄
5206 fēn,fèn 分
5207 qiē,qiè 切
5208 yì 刈
520A kān 刊
520C cǔn 刌
520D chú 刍
520E wěn 刎
5211 xíng 刑
5212 huá,huà,huai 划
5213 wán 刓
5216 yuè 刖
5217 liè 列
5218 liú 刘
5219 zé 则
521A gāng 刚
521B chuāng,chuàng 创
521C fú 刜
521D chū 初
5220 shān 删
5224 pàn 判
5226 jié 刦
5227 jié 刧
5228 bào,páo 刨
5229 lì 利
522A shān 刪
522B bié,biè 别
522C chǎn,chàn 刬
522D jǐng 刭
522E guā 刮
5230 dào 到
5232 kuī 刲
5233 kū 刳
5234 duò 刴
5235 èr 刵
5236 zhì 制
5237 shuā,shuà 刷
5238 quàn,xuàn 券
5239 chà,shā 刹
523A cī,cì 刺
523B kè 刻
523C jié 刼
523D guì 刽
523F guì 刿
5240 kǎi 剀
5241 duò 剁
5242 jì 剂
5243 tì 剃
5244 jǐng 剄
5245 lóu 剅
5249 cuò 剉
524A xiāo,xuē 削
524B kè,kēi 剋
524C lá,là 剌
524D qián 前
524F chuàng 剏
5250 guǎ 剐
5251 jiàn 剑
5252 cuò 剒
5254 tī 剔
5255 fèi 剕
5256 pōu 剖
5257 chǎn,chàn 剗
5259 chuàng 剙
525A zì 剚
525B gāng 剛
525C wān 剜
525E jī 剞
525F duō 剟
5260 qíng 剠
5261 shàn,yǎn 剡
5265 bāo,bō 剥
5267 jù 剧
5268 huō 剨
5269 shèng 剩
526A jiǎn 剪
526E guǎ 剮
526F fù 副
5272 gē 割
5274 kǎi 剴
5275 chuāng,chuàng 創
5277 chǎn 剷
527A lí 剺
527D piāo 剽
527F chāo,jiǎo 剿
5280 guā 劀
5281 qiāo 劁
5282 jué 劂
5283 huá,huà,huai 劃
5284 zhā,zhá 劄
5287 jù 劇
5288 pī,pǐ 劈
5289 liú 劉
528A guì 劊
528C guì 劌
528D jiàn 劍
5290 huō 劐
5291 jì 劑
5293 yì 劓
5294 jiàn 劔
5297 jiǎn 劗
5298 mó 劘
5299 lí 劙
529A zhǔ 劚
529B lì 力
529D quàn 劝
529E bàn 办
529F gōng 功
52A0 jiā 加
52A1 wù 务
52A2 mài 劢
52A3 liè 劣
52A4 jìn 劤
52A8 dòng 动
52A9 zhù 助
52AA nǔ 努
52AB jié 劫
52AC qú 劬
52AD shào 劭
52B1 lì 励
52B2 jìn,jìng 劲
52B3 láo 劳
52B9 xiào 効
52BB kuāng 劻
52BE hé 劾
52BF shì 势
52C1 jìn,jìng 勁
52C3 bó 勃
52C5 chì 勅
52C7 yǒng 勇
52C9 miǎn 勉
52CB xūn 勋
52CD qíng 勍
52D0 měng 勐
52D1 chì 勑
52D2 lè,lēi 勒
52D4 miǎn 勔
52D5 dòng 動
52D6 xù 勖
52D7 xù 勗
52D8 kān 勘
52D9 wù 務
52DA yì 勚
52DD shèng 勝
52DE láo 勞
52DF mù 募
52E0 lù 勠
52E2 shì 勢
52E3 jī 勣
52E4 qín 勤
52E5 jiàng 勥
52E6 chāo,jiǎo 勦
52F0 xié 勰
52F1 mài 勱
52F3 xūn 勳
52F5 lì 勵
52F7 ráng 勷
52F8 quàn 勸
52FA sháo 勺
52FC jiū 勼
52FE gōu,gòu 勾
52FF wù 勿
5300 yún 匀
5304 gài 匄
5305 bāo 包
5306 cōng 匆
5308 xiōng 匈
5309 pēng 匉
530A jū 匊
530B táo 匋
530D pú 匍
530F páo 匏
5310 fú 匐
5315 bǐ 匕
5316 huā,huà 化
5317 běi 北
5319 chí,shi 匙
531C yí 匜
531D zā 匝
5320 jiàng 匠
5321 kuāng 匡
5323 xiá 匣
5326 guǐ 匦
532A fěi 匪
532E kuì 匮
532F huì 匯
5332 lián 匲
5333 lián 匳
5335 dú 匵
5339 pǐ 匹
533A ōu,qū 区
533B yī 医
533C kē 匼
533E biǎn 匾
533F nì 匿
5340 ōu,qū 區
5341 shí 十
5343 qiān 千
5345 sà 卅
5347 shēng 升
5348 wǔ 午
5349 huì 卉
534A bàn 半
534B shì 卋
534C xì 卌
534E huá,huà 华
534F xié 协
5351 bēi 卑
5352 cù,zú 卒
5353 zhuō 卓
5354 xié 協
5355 chán,dān,shàn 单
5356 mài 卖
5357 nā,nán 南
535A bó 博
535C bo,bǔ 卜
535D kuàng 卝
535E biàn 卞
535F bǔ 卟
5360 zhān,zhàn 占
5361 kǎ,qiǎ 卡
5362 lú 卢
5363 yǒu 卣
5364 lǔ 卤
5366 guà 卦
5367 wò 卧
5368 xiè 卨
536B wèi 卫
536C áng 卬
536E zhī 卮
536F mǎo 卯
5370 yìn 印
5371 wēi 危
5372 shào 卲
5373 jí 即
5374 què 却
5375 luǎn 卵
5377 juǎn,juàn 卷
5378 xiè 卸
5379 xù 卹
537A jǐn 卺
537B què 卻
537C wù 卼
537F qīng 卿
5382 ān,chǎng 厂
5384 è 厄
5385 tīng 厅
5386 lì 历
5389 lì 厉
538B yā,yà 压
538C yàn 厌
538D shè 厍
5393 yá 厓
5394 zhì 厔
5395 cè,si 厕
5396 páng 厖
5398 lí 厘
539A hòu 厚
539B tīng 厛
539D cuò 厝
539F yuán 原
53A2 xiāng 厢
53A3 yǎn 厣
53A4 lì 厤
53A5 jué 厥
53A6 shà,xià 厦
53A8 chú 厨
53A9 jiù 厩
53AA jǐn 厪
53AB áo 厫
53AD yàn 厭
53AE sī 厮
53B0 chǎng 厰
53B2 lì 厲
53B4 yǎn 厴
53B6 sī 厶
53BB qù 去
53BE dū 厾
53BF xiàn 县
53C1 sān 叁
53C2 cān,cēn,shēn 参
53C3 cān,cēn,shēn 參
53C6 ài 叆
53C7 dài 叇
53C8 yòu 又
53C9 chā,chá,chǎ,chà 叉
53CA jí 及
53CB yǒu 友
53CC shuāng 双
53CD fǎn 反
53CE shōu 収
53D1 fā,fà 发
53D4 shū 叔
53D6 qǔ 取
53D7 shòu 受
53D8 biàn 变
53D9 xù 叙
53DB pàn 叛
53DC sǒu 叜
53DF sǒu 叟
53E0 dié 叠
53E1 ruì 叡
53E2 cóng 叢
53E3 kǒu 口
53E4 gǔ 古
53E5 gōu,gòu,jù 句
53E6 lìng 另
53E8 dāo,dáo,tāo 叨
53E9 kòu 叩
53EA zhī,zhǐ 只
53EB jiào 叫
53EC shào,zhào 召
53ED bā 叭
53EE dīng 叮
53EF kě,kè 可
53F0 tāi,tái 台
53F1 chì 叱
53F2 shǐ 史
53F3 yòu 右
53F5 pǒ 叵
53F6 xié,yè 叶
53F7 háo,hào 号
53F8 sī 司
53F9 tàn 叹
53FB lè 叻
53FC diāo 叼
53FD jī 叽
5401 xū,yū,yù 吁
5403 chī 吃
5404 gě,gè 各
5406 yāo 吆
5408 gě,hé 合
5409 jí 吉
540A diào 吊
540B cùn,yīng 吋
540C tóng,tòng 同
540D míng 名
540E hòu 后
540F lì 吏
5410 tǔ,tù 吐
5411 xiàng 向
5412 zhā,zhà 吒
5413 hè,xià 吓
5415 lǚ 吕
5417 má,mǎ,ma 吗
541A yī 吚
541B jūn 君
541D lìn 吝
541E tūn 吞
541F yín 吟
5420 fèi 吠
5421 bǐ,pǐ 吡
5422 qìn 吢
5423 qìn 吣
5425 bù 吥
5426 fǒu,pǐ 否
5427 bā,ba 吧
5428 dūn 吨
5429 fēn 吩
542A é 吪
542B hán 含
542C tīng 听
542D háng,kēng 吭
542E shǔn 吮
542F qǐ 启
5430 hóng 吰
5431 zhī,zī 吱
5432 yǐn 吲
5433 wú 吳
5434 wú 吴
5435 chāo,chǎo 吵
5438 xī 吸
5439 chuī 吹
543B wěn 吻
543C hǒu 吼
543D hōng 吽
543E wú 吾
5440 yā,ya 呀
5443 è,e 呃
5446 ái,dāi 呆
5448 chéng 呈
544A gào 告
544B fū 呋
544C jiào 呌
544E chǐ,yīng 呎
5450 nà,na,nè,ne 呐
5452 ḿ 呒
5453 yì 呓
5454 dāi,tǎi 呔
5455 ǒu,òu 呕
5456 lì 呖
5457 bài,bei 呗
5458 yuán,yún,yùn 员
5459 guō 呙
545B qiāng,qiàng 呛
545C wū 呜
545D è 呝
5462 ne,ní 呢
5463 ḿ,m̀ 呣
5464 lìng 呤
5466 yōu 呦
5468 zhōu 周
546A zhòu 呪
5470 zǐ 呰
5471 gū,guā,guǎ 呱
5472 cī,zī 呲
5473 wèi 味
5475 ā,á,à,a,hē,kē 呵
5476 náo,nǔ 呶
5477 gā,xiā 呷
5478 pēi 呸
547B shēn 呻
547C hū 呼
547D mìng 命
5480 jǔ,zuǐ 咀
5482 zā 咂
5484 duō 咄
5486 páo 咆
548B zǎ,zé,zhā 咋
548C hé,hè,hú,huó,huò 和
548D hāi 咍
548E jiù 咎
548F yǒng 咏
5490 fù 咐
5491 dā 咑
5492 zhòu 咒
5494 kā,kǎ 咔
5495 gū 咕
5496 gā,kā 咖
5499 lóng 咙
549A dōng 咚
549B níng 咛
549D sī 咝
54A3 guāng 咣
54A4 zhà 咤
54A6 yí 咦
54A7 liē,liě,lie 咧
54A8 zī 咨
54A9 miē 咩
54AA mī 咪
54AB zhǐ 咫
54AC yǎo 咬
54AD jī 咭
54AE zhòu 咮
54AF gē,kǎ,lo,luò 咯
54B1 zá,zán,zan 咱
54B2 xiào 咲
54B3 hāi,ké 咳
54B4 huī 咴
54B5 kuǎ 咵
54B7 táo 咷
54B8 xián 咸
54BB xiū 咻
54BC guō 咼
54BD yān,yàn,yè 咽
54BF yī 咿
54C0 āi 哀
