博库  bo2 ku4   
阿武子  a1 wu3 zi3   
阿物儿  a1 wu4 er2   
阿鹜  a1 wu4   
阿锡  a1 xi1   
阿緆  a1 xi1   
阿细的先基  a1 xi4 de5 xian1 ji1   
阿细跳月  a1 xi4 tiao4 yue4   
阿下  a1 xia4   
阿咸  a1 xian2   
阿乡  a1 xiang1   
阿香  a1 xiang1   
阿香车  a1 xiang1 che1   
阿小  a1 xiao3   
阿兄  a1 xiong1   
阿修罗  a1 xiu1 luo2   
阿循  a1 xun2   
阿徇  a1 xun4   
阿狥  a1 xun4   
阿呀  a1 ya5   
阿雅伟  a1 ya3 wei3   
阿亚库乔战役  a1 ya4 ku4 qiao2 zhan4 yi4   
阿阳  a1 yang2   
阿爷  a1 ye2   
阿耶  a1 ye1   
阿耶娘  a1 ye1 niang2   
阿夷  a1 yi2   
阿宜  a1 yi2   
阿倚  a1 yi3   
阿邑  a1 yi4   
阿驿  a1 yi4   
阿意  a1 yi4   
阿意苟合  a1 yi4 gou3 he2   
阿意取容  a1 yi4 qu3 rong2   
阿意顺旨  a1 yi4 shun4 zhi3   
阿隐  a1 yin3   
阿英  a1 ying1   
阿右  a1 you4   
阿谀谄媚  e1 yu2 chan3 mei4   
阿谀苟合  e1 yu2 gou3 he2   
阿谀求容  e1 yu2 qiu2 rong2   
阿谀曲从  e1 yu2 qu3 cong2   
阿谀取容  e1 yu2 qu3 rong2   
阿谀顺旨  e1 yu2 shun4 zhi3   
阿庾多  a1 yu3 duo1   
阿育  a1 yu4   
阿育帝  a1 yu4 di4   
阿育塔  a1 yu4 ta3   
阿育王  a1 yu4 wang2   
阿誉  a1 yu4   
阿媛  a1 yuan2   
阿月  a1 yue4   
阿月浑子  a1 yue4 hun2 zi3   
阿越  a1 yue4   
阿曾  a1 ceng2   
阿旃陀石窟  a1 zhan1 tuo2 shi2 ku1   
阿章  a1 zhang1   
阿丈  a1 zhang4   
阿者  a1 zhe3   
阿甄  a1 zhen1   
阿正  a1 zheng4   
阿郑之化  a1 zheng4 zhi1 hua4   
阿侄  a1 zhi2   
阿旨顺情  a1 zhi3 shun4 qing2   
阿指  a1 zhi3   
阿众  a1 zhong4   
阿主  a1 zhu3   
阿主沙里  a1 zhu3 sha1 li3   
阿助  a1 zhu4   
阿兹特克文化  a1 zi1 te4 ke4 wen2 hua4   
阿子  a1 zi3   
阿姊  a1 zi3   
阿紫  a1 zi3   
阿恣  a1 zi4   
阿纵  a1 zong4   
阿尊事贵  a1 zun1 shi4 gui4   
啊唷  a1 yo1   
嗄程  a2 cheng2   
嗄饭  a2 fan4   
嗄飰  a2 fan4   
嗄嘶  a2 si1   
嗄哑  a2 ya3   
哎哈  ai1 ha1   
哎也  ai1 ye3   
哀哀  ai1 ai1   
哀哀父母  ai1 ai1 fu4 mu3   
哀哀欲绝  ai1 ai1 yu4 jue2   
哀悲  ai1 bei1   
哀惨  ai1 can3   
哀册  ai1 ce4   
哀恻  ai1 ce4   
哀策  ai1 ce4   
哀察  ai1 cha2   
哀蝉曲  ai1 chan2 qu3   
哀楚  ai1 chu3   
哀怆  ai1 chuang4   
哀吹豪竹  ai1 chui1 hao2 zhu2   
哀词  ai1 ci2   
哀摧  ai1 cui1   
哀悴  ai1 cui4   
哀怛  ai1 da2   
哀弹  ai1 dan4   
哀的美顿书  ai1 de5 mei3 dun4 shu1   
哀恫  ai1 tong1   
哀顿  ai1 dun4   
哀愤  ai1 fen4   
哀风  ai1 feng1   
哀丐  ai1 gai4   
哀感  ai1 gan3   
哀感天地  ai1 gan3 tian1 di4   
哀感顽艳  ai1 gan3 wan2 yan4   
哀感中年  ai1 gan3 zhong1 nian2   
哀告宾服  ai1 gao4 bin1 fu2   
哀哽  ai1 geng3   
哀耗  ai1 hao4   
哀壑  ai1 he4   
哀恨  ai1 hen4   
哀鸿遍地  ai1 hong2 bian4 di4   
哀鸿满路  ai1 hong2 man3 lu4   
哀厚  ai1 hou4   
哀荒  ai1 huang1   
哀惶  ai1 huang2   
哀毁  ai1 hui3   
哀毁瘠立  ai1 hui3 ji2 li4   
哀激  ai1 ji1   
哀急  ai1 ji2   
哀祭  ai1 ji4   
哀家  ai1 jia1   
哀家梨  ai1 jia1 li2   
哀笳  ai1 jia1   
哀江南赋  ai1 jiang1 nan2 fu4   
哀角  ai1 jiao3   
哀嗟  ai1 jie1   
哀结  ai1 jie2   
哀矜惩创  ai1 jin1 cheng2 chuang4   
哀矜勿喜  ai1 jin1 wu4 xi3   
哀敬  ai1 jing4   
哀疚  ai1 jiu4   
哀惧  ai1 ju4   
哀眷  ai1 juan4   
哀叩  ai1 kou4   
哀苦  ai1 ku3   
哀悃  ai1 kun3   
哀牢  ai1 lao2   
哀乐相生  ai1 yue4 xiang1 sheng1   
哀乐中节  ai1 yue4 zhong1 jie2   
哀诔  ai1 lei3   
哀梨  ai1 li2   
哀梨并剪  ai1 li2 bing4 jian3   
哀梨蒸食  ai1 li2 zheng1 shi2   
哀厉  ai1 li4   
哀丽  ai1 li4   
哀恋  ai1 lian4   
哀临  ai1 lin2   
哀曼  ai1 man4   
哀迷  ai1 mi2   
哀闵  ai1 min3   
哀悯  ai1 min3   
哀愍  ai1 min3   
哀默  ai1 mo4   
哀慕  ai1 mu4   
哀念  ai1 nian4   
哀弄  ai1 nong4   
哀匏  ai1 pao2   
哀平  ai1 ping2   
哀迫  ai1 po4   
哀戚之情  ai1 qi1 zhi1 qing2   
哀慽  ai1 qi1   
哀祈  ai1 qi2   
哀启  ai1 qi3   
哀气  ai1 qi4   
哀情  ai1 qing2   
哀请  ai1 qing3   
哀穷悼屈  ai1 qiong2 dao4 qu1   
哀茕  ai1 qiong2   
哀惸  ai1 qiong2   
哀焭  ai1 qiong2   
哀丘  ai1 qiu1   
哀臞  ai1 qu2   
哀癯  ai1 qu2   
哀劝  ai1 quan4   
哀悫  ai1 que4   
哀人  ai1 ren2   
哀容  ai1 rong2   
哀飒  ai1 sa4   
哀声  ai1 sheng1   
哀声叹气  ai1 sheng1 tan4 qi4   
哀石  ai1 shi2   
哀时  ai1 shi2   
哀识  ai1 shi2   
哀书  ai1 shu1   
哀恕  ai1 shu4   
哀丝  ai1 si1   
哀丝豪肉  ai1 si1 hao2 rou4   
哀丝豪竹  ai1 si1 hao2 zhu2   
哀思如潮  ai1 si1 ru2 chao2   
哀死事生  ai1 si3 shi4 sheng1   
哀素  ai1 su4   
哀酸  ai1 suan1   
哀骀  ai1 tai2   
哀天叫地  ai1 tian1 jiao4 di4   
哀听  ai1 ting1   
哀痛欲绝  ai1 tong4 yu4 jue2   
哀痛诏  ai1 tong4 zhao4   
哀哇  ai1 wa1   
哀挽  ai1 wan3   
哀惋  ai1 wan3   
哀王孙  ai1 wang2 sun1   
哀文  ai1 wen2   
哀乌  ai1 wu1   
哀乌郎  ai1 wu1 lang2   
哀惜  ai1 xi1   
哀喜交并  ai1 xi3 jiao1 bing4   
哀弦  ai1 xian2   
哀响  ai1 xiang3   
哀些  ai1 xie1   
哀心  ai1 xin1   
哀凶  ai1 xiong1   
哀恤  ai1 xu4   
哀雅  ai1 ya3   
哀咽  ai1 yan1   
哀音  ai1 yin1   
哀隐  ai1 yin3   
哀郢  ai1 ying3   
哀忧  ai1 you1   
哀狖  ai1 you4   
哀宥  ai1 you4   
哀娱  ai1 yu2   
哀玉  ai1 yu4   
哀吁  ai1 xu1   
哀郁  ai1 yu4   
哀钥  ai1 yao4   
哀赞  ai1 zan4   
哀杖  ai1 zhang4   
哀诏  ai1 zhao4   
哀筝  ai1 zheng1   
哀拯  ai1 zheng3   
哀转  ai1 zhuan3   
哀啭  ai1 zhuan4   
哀壮  ai1 zhuang4   
唉唉  ai1 ai1   
唉姐  ai1 jie3   
埃蔼  ai1 ai3   
埃壒  ai1 ai4   
埃尘  ai1 chen2   
埃菲尔铁塔  ai1 fei1 er3 tie3 ta3   
埃氛  ai1 fen1   
埃垢  ai1 gou4   
埃秽  ai1 hui4   
埃昏  ai1 hun1   
埃及艺术  ai1 ji2 yi4 shu4   
埃芥  ai1 jie4   
埃境  ai1 jing4   
埃煤  ai1 mei2   
埃灭  ai1 mie4   
埃墨  ai1 mo4   
埃涅阿斯纪  ai1 nie4 a1 si1 ji4   
埃壤  ai1 rang3   
埃塞俄比亚高原  ai1 sai4 e2 bi3 ya4 gao1 yuan2   
埃塞俄比亚人  ai1 sai4 e2 bi3 ya4 ren2   
埃特纳火山  ai1 te4 na4 huo3 shan1   
埃土  ai1 tu3   
埃雾  ai1 wu4   
埃堨  ai1 ye4   
埃郁  ai1 yu4   
挨挨擦擦  ai1 ai2 ca1 ca1   
挨挨错错  ai1 ai2 cuo4 cuo4   
挨挨挤挤  ai2 ai2 ji3 ji3   
挨挨抢抢  ai1 ai2 qiang3 qiang3   
挨挨拶拶  ai1 ai2 za1 za1   
挨挨桚桚  ai1 ai2 zan3 zan3   
挨挨轧轧  ai1 ai2 ya4 ya4   
挨板子  ai2 ban3 zi5   
挨边  ai2 bian1   
挨捕  ai2 bu3   
挨查  ai2 cha2   
挨呲儿  ai2 ci1 er2   
挨打受气  ai2 da3 shou4 qi4   
挨冻受饿  ai2 dong4 shou4 e4   
挨饿受冻  ai2 e4 shou4 dong4   
挨坊靠院  ai2 fang1 kao4 yuan4   
挨风缉缝  ai2 feng1 ji1 feng5   
挨贡  ai2 gong4   
挨光  ai2 guang1   
挨黑  ai2 hei1   
挨家按户  ai1 jia1 an4 hu4   
挨家比户  ai1 jia1 bi3 hu4   
挨肩并足  ai1 jian1 bing4 zu2   
挨肩擦膀  ai1 jian1 ca1 pang2   
挨肩擦背  ai1 jian1 ca1 bei4   
挨肩擦脸  ai1 jian1 ca1 lian3   
挨肩搭背  ai1 jian1 da1 bei4   
挨肩迭背  ai1 jian1 die2 bei4   
挨肩叠背  ai1 jian1 die2 bei4   
挨肩叠足  ai1 jian1 die2 zu2   
挨剋  ai2 ke4   
挨赖  ai2 lai4   
挨蓝  ai2 lan2   
挨满  ai2 man3   
挨门逐户  ai1 men2 zhu2 hu4   
挨磨  ai2 mo2   
挨拿  ai2 na2   
挨耐  ai2 nai4   
挨闹  ai2 nao4   
挨排  ai2 pai2   
挨牌  ai2 pai2   
挨三顶四  ai2 san1 ding3 si4   
挨三顶五  ai2 san1 ding3 wu3   
挨山塞海  ai2 shan1 sai1 hai3   
挨身  ai2 shen1   
挨宿  ai2 xiu3   
挨搪  ai2 tang2   
挨头子  ai2 tou2 zi5   
挨推  ai2 tui1   
挨脱  ai2 tuo1   
挨晩  ai2 wan3   
挨延  ai2 yan2   
挨也  ai2 ye3   
挨倚  ai2 yi3   
挨匝  ai2 za1   
挨拶  ai2 za1   
挨杂  ai2 za2   
溾涹  ai1 wo1   
啀啀  ai2 ai2   
啀喍  ai2 chai2   
捱捱儿  ai2 ai2 er2   
捱捱挤挤  ai2 ai2 ji3 ji3   
捱查  ai2 cha2   
捱次  ai2 ci4   
捱抵  ai2 di3   
捱风缉缝  ai2 feng1 ji1 feng5   
捱光  ai2 guang1   
捱挤  ai2 ji3   
捱靠  ai2 kao4   
捱苦  ai2 ku3   
捱磨  ai2 mo2   
捱牌  ai2 pai2   
捱三顶四  ai2 san1 ding3 si4   
捱三顶五  ai2 san1 ding3 wu3   
捱延  ai2 yan2   
皑白  ai2 bai2   
皑雪  ai2 xue3   
溰溰  ai2 ai2   
嗳声叹气  ai4 sheng1 tan4 qi4   
嗳呀  ai4 ya5   
嗳哟  ai4 yo1   
嗳呦  ai4 you1   
矮矮实实  ai3 ai3 shi2 shi2   
矮矬  ai3 cuo2   
矮矬子  ai3 cuo2 zi5   
矮笃笃  ai3 du3 du3   
矮垛垛  ai3 duo4 duo3   
矮个  ai3 ge4   
矮黄  ai3 huang2   
矮林  ai3 lin2   
矮陋  ai3 lou4   
矮奴  ai3 nu2   
矮人观场  ai3 ren2 guan1 chang3   
矮人看场  ai3 ren2 kan4 chang3   
矮人看戏  ai3 ren2 kan4 xi4   
矮屋  ai3 wu1   
矮小精悍  ai3 xiao3 jing1 han4   
矮纸  ai3 zhi3   
矮子队里选将军  ai3 zi5 dui4 li3 xuan3 jiang1 jun1   
矮子观场  ai3 zi5 guan1 chang3   
矮子看戏  ai3 zi5 kan4 xi4   
矮子里拔将军  ai3 zi5 li3 ba2 jiang1 jun1   
蔼蔼  ai3 ai3   
蔼彩  ai3 cai3   
蔼然可亲  ai3 ran2 ke3 qin1   
蔼然仁者  ai3 ran2 ren2 zhe3   
蔼如  ai3 ru2   
蔼郁  ai3 yu4   
霭霭  ai3 ai3   
霭峰  ai3 feng1   
霭空  ai3 kong1   
霭露  ai3 lu4   
霭昧  ai3 mei4   
霭腾腾  ai3 teng2 teng2   
霭郁  ai3 yu4   
艾安  ai4 an1   
艾焙  ai4 bei4   
艾毕  ai4 bi4   
艾韠  ai4 bi4   
艾丁湖  ai4 ding1 hu2   
艾发  ai4 fa1   
艾发衰容  ai4 fa1 shuai1 rong2   
艾凡赫  ai4 fan2 he4   
艾服  ai4 fu2   
艾符  ai4 fu2   
艾餻  ai4 gao1   
艾褐  ai4 he4   
艾虎  ai4 hu3   
艾猳  ai4 jia1   
艾豭  ai4 jia1   
艾灸  ai4 jiu3   
艾酒  ai4 jiu3   
艾康  ai4 kang1   
艾老  ai4 lao3   
艾缗  ai4 min2   
艾命  ai4 ming4   
艾纳  ai4 na4   
艾蒳  ai4 na4   
艾年  ai4 nian2   
艾气  ai4 qi4   
艾青  ai4 qing1   
艾人  ai4 ren2   
艾色  ai4 se4   
艾杀  ai4 sha1   
艾绶  ai4 shou4   
艾孀  ai4 shuang1   
艾思奇  ai4 si1 qi2   
艾芜  ai4 wu2   
艾席  ai4 xi2   
艾萧  ai4 xiao1   
艾衣  ai4 yi1   
艾怨  ai4 yuan4   
艾帐  ai4 zhang4   
艾炷  ai4 zhu4   
艾壮  ai4 zhuang4   
艾子  ai4 zi3   
爱八哥儿  ai4 ba1 ge5 er5   
爱巴物儿  ai4 ba1 wu4 er2   
爱宝  ai4 bao3   
爱寶  ai4 bao3   
爱别离苦  ai4 bie2 li2 ku3   
爱博不专  ai4 bo2 bu4 zhuan1   
爱博而情不专  ai4 bo2 er2 qing2 bu4 zhuan1   
爱不忍释  ai4 bu4 ren3 shi4   
爱才好士  ai4 cai2 hao3 shi4   
爱才怜弱  ai4 cai2 lian2 ruo4   
爱才如渴  ai4 cai2 ru2 ke3   
爱才若渴  ai4 cai2 ruo4 ke3   
爱财舍命  ai4 cai2 she3 ming4   
爱巢  ai4 chao2   
爱吃枣儿汤  ai4 chi1 zao3 er5 tang1   
爱宠  ai4 chong3   
爱答不理  ai4 da2 bu4 li3   
爱的教育  ai4 de5 jiao4 yu4   
爱丁堡大学  ai4 ding1 bao3 da4 xue2   
爱恶  ai4 e4   
爱恩  ai4 en1   
爱尔兰人  ai4 er3 lan2 ren2   
爱尔兰自治法案  ai4 er3 lan2 zi4 zhi4 fa3 an4   
爱非其道  ai4 fei1 qi2 dao4   
爱服  ai4 fu2   
爱富嫌贫  ai4 fu4 xian2 pin2   
爱根  ai4 gen1   
爱顾  ai4 gu4   
爱国布  ai4 guo2 bu4   
爱国如家  ai4 guo2 ru2 jia1   
爱国统一战线  ai4 guo2 tong3 yi1 zhan4 xian4   
爱果  ai4 guo3   
爱海  ai4 hai3   
爱鹤失众  ai4 he4 shi1 zhong4   
爱惠  ai4 hui4   
爱火  ai4 huo3   
爱迹  ai4 ji4   
爱娇  ai4 jiao1   
爱藉  ai4 jie4   
爱景  ai4 jing3   
爱敬  ai4 jing4   
爱口  ai4 kou3   
爱口识羞  ai4 kou3 shi2 xiu1   
爱款  ai4 kuan3   
爱老  ai4 lao3   
爱老慈幼  ai4 lao3 ci2 you4   
爱乐  ai4 yue4   
爱礼存羊  ai4 li3 cun2 yang2   
爱力  ai4 li4   
爱丽舍宫  ai4 li4 she3 gong1   
爱利  ai4 li4   
爱莲说  ai4 lian2 shuo1   
爱吝  ai4 lin4   
爱流  ai4 liu2   
爱毛反裘  ai4 mao2 fan3 qiu2   
爱美的  ai4 mei3 de5   
爱美的戏剧  ai4 mei3 de5 xi4 ju4   
爱媚  ai4 mei4   
爱米丽雅迦洛蒂  ai4 mi3 li4 ya3 jia1 luo4 di4   
爱民如子  ai4 min2 ru2 zi3   
爱民恤物  ai4 min2 xu4 wu4   
爱悯  ai4 min3   
